KYWD,2021,2022,2023,2024,2025,2026
intention to use,19.0,19.0,18.0,16.0,5.0,3.0
inter,0.0,5.0,3.0,7.0,5.0,0.0
inter-korean cooperation,0.0,5.0,4.0,0.0,0.0,0.0
inter-korean relations,15.0,9.0,6.0,8.0,4.0,0.0
interaction,14.0,9.0,11.0,8.0,8.0,5.0
interactivity,10.0,10.0,7.0,9.0,7.0,6.0
interculturalism,0.0,5.0,0.0,0.0,0.0,0.0
interest,38.0,30.0,39.0,25.0,38.0,30.0
interests,9.0,13.0,14.0,9.0,9.0,7.0
internal,9.0,8.0,12.0,11.0,11.0,10.0
internal marketing,6.0,2.0,0.0,0.0,0.0,0.0
internalized shame,5.0,3.0,7.0,1.0,0.0,4.0
international,75.0,62.0,82.0,63.0,72.0,63.0
international competitiveness,0.0,0.0,5.0,4.0,0.0,0.0
international cooperation,6.0,4.0,0.0,0.0,0.0,4.0
international development,5.0,1.0,0.0,0.0,0.0,0.0
international development cooperation,9.0,5.0,6.0,5.0,3.0,0.0
international law,5.0,10.0,14.0,7.0,8.0,6.0
international logistics,0.0,5.0,1.0,0.0,0.0,0.0
international order,0.0,0.0,0.0,7.0,1.0,0.0
international students,7.0,10.0,6.0,11.0,15.0,13.0
international tax,5.0,0.0,0.0,0.0,0.0,0.0
international tourism,6.0,3.0,0.0,0.0,0.0,0.0
international trade,11.0,12.0,7.0,3.0,0.0,6.0
internationalization,6.0,2.0,6.0,4.0,0.0,4.0
internet,13.0,13.0,10.0,11.0,2.0,0.0
interoperability,0.0,0.0,5.0,3.0,0.0,0.0
interpersonal problems,7.0,4.0,5.0,2.0,0.0,3.0
interpersonal relationship,5.0,3.0,0.0,0.0,0.0,0.0
interpretation,16.0,13.0,33.0,33.0,23.0,23.0
intersectionality,7.0,5.0,7.0,6.0,6.0,4.0
intervention,7.0,8.0,5.0,13.0,4.0,0.0
interview,7.0,4.0,5.0,6.0,4.0,0.0
intimacy,5.0,1.0,0.0,0.0,0.0,0.0
intimate,0.0,0.0,0.0,5.0,5.0,5.0
into,5.0,1.0,0.0,0.0,0.0,0.0
intrinsic motivation,10.0,9.0,3.0,10.0,4.0,0.0
invention,9.0,12.0,9.0,9.0,7.0,6.0
inventory,0.0,0.0,5.0,2.0,0.0,0.0
investigation,37.0,26.0,31.0,33.0,28.0,27.0
investigative,0.0,8.0,5.0,7.0,5.0,4.0
investment,49.0,44.0,60.0,32.0,33.0,21.0
investment efficiency,0.0,0.0,0.0,6.0,3.0,0.0
investor,20.0,16.0,16.0,17.0,10.0,11.0
involvement,6.0,9.0,10.0,6.0,11.0,8.0
ipa,13.0,23.0,26.0,14.0,14.0,10.0
ipa analysis,0.0,0.0,5.0,5.0,2.0,0.0
ipaimportance-performance analysis,0.0,5.0,4.0,0.0,0.0,0.0
ipef,0.0,6.0,9.0,4.0,0.0,0.0
ipo,14.0,8.0,5.0,5.0,3.0,0.0
iran,0.0,6.0,4.0,0.0,0.0,0.0
isds,0.0,0.0,0.0,6.0,4.0,0.0
islam,8.0,11.0,7.0,6.0,2.0,0.0
israel,0.0,0.0,0.0,5.0,3.0,0.0
issuance,6.0,0.0,0.0,0.0,0.0,4.0
issues,7.0,4.0,0.0,0.0,0.0,0.0
it,7.0,9.0,7.0,12.0,3.0,0.0
itaewon,0.0,0.0,7.0,0.0,0.0,0.0
japan,33.0,33.0,31.0,33.0,32.0,30.0
japanese,17.0,8.0,12.0,9.0,13.0,9.0
japanese colonial period,6.0,3.0,0.0,6.0,2.0,0.0
jeju,0.0,8.0,8.0,7.0,5.0,4.0
jeju island,0.0,7.0,5.0,2.0,0.0,0.0
jeong,7.0,1.0,0.0,0.0,0.0,0.0
jeonse,0.0,0.0,7.0,9.0,3.0,0.0
jeonse fraud,0.0,0.0,0.0,6.0,2.0,0.0
job,15.0,9.0,8.0,10.0,13.0,10.0
job autonomy,6.0,10.0,6.0,14.0,7.0,8.0
job burnout,13.0,11.0,12.0,3.0,0.0,11.0
job calling,0.0,0.0,5.0,0.0,0.0,0.0
job characteristics,0.0,8.0,3.0,0.0,0.0,0.0
job crafting,10.0,16.0,12.0,16.0,7.0,7.0
job creation,7.0,9.0,5.0,1.0,0.0,0.0
job engagement,13.0,13.0,17.0,9.0,7.0,4.0
job insecurity,11.0,13.0,11.0,7.0,6.0,3.0
job performance,25.0,20.0,22.0,18.0,22.0,19.0
job satisfaction,87.0,81.0,74.0,63.0,65.0,58.0
job stress,31.0,20.0,28.0,27.0,25.0,23.0
jobs,0.0,8.0,1.0,5.0,2.0,0.0
jobs elderly,7.0,4.0,0.0,6.0,3.0,0.0
john,0.0,0.0,7.0,2.0,0.0,0.0
joint,15.0,13.0,16.0,17.0,17.0,16.0
jong,6.0,2.0,0.0,0.0,0.0,0.0
joseon,0.0,0.0,0.0,6.0,3.0,0.0
journal,5.0,0.0,0.0,0.0,0.0,0.0
journalism,5.0,9.0,17.0,7.0,8.0,4.0
journalist,6.0,7.0,4.0,0.0,0.0,0.0
judge,0.0,5.0,4.0,0.0,0.0,0.0
judges,0.0,0.0,5.0,2.0,0.0,0.0
judgment,22.0,18.0,18.0,22.0,20.0,19.0
judgments,0.0,5.0,2.0,0.0,0.0,0.0
judicata,7.0,0.0,0.0,0.0,0.0,0.0
judicial,36.0,28.0,29.0,23.0,38.0,33.0
jurisdiction,20.0,28.0,18.0,11.0,14.0,10.0
jurisprudence,8.0,4.0,0.0,6.0,0.0,0.0
jury,0.0,6.0,0.0,0.0,0.0,0.0
just,0.0,7.0,4.0,0.0,0.0,8.0
justice,43.0,36.0,31.0,33.0,45.0,41.0
justification,7.0,11.0,6.0,5.0,5.0,3.0
juvenile,0.0,6.0,6.0,4.0,0.0,5.0
k,14.0,10.0,13.0,12.0,9.0,8.0
k-,5.0,2.0,6.0,13.0,2.0,0.0
k-culture,0.0,0.0,0.0,5.0,3.0,0.0
k-pop,7.0,5.0,8.0,10.0,13.0,11.0
kant,0.0,0.0,5.0,2.0,0.0,0.0
kazakhstan,9.0,7.0,13.0,7.0,6.0,3.0
kcyps 2018,7.0,8.0,7.0,4.0,0.0,4.0
keyword,5.0,1.0,0.0,0.0,0.0,0.0
keyword analysis,10.0,4.0,0.0,0.0,0.0,0.0
keyword network analysis,8.0,21.0,14.0,10.0,16.0,12.0
kim,9.0,7.0,1.0,5.0,13.0,9.0
kim jong-un,11.0,7.0,12.0,12.0,6.0,6.0
kindergarten teachers,0.0,0.0,0.0,5.0,3.0,0.0
kingdon,0.0,0.0,5.0,1.0,0.0,0.0
kiosk,0.0,0.0,11.0,5.0,6.0,0.0
kishida,0.0,0.0,0.0,5.0,0.0,0.0
kishida administration,0.0,0.0,0.0,7.0,0.0,0.0
kiso,0.0,7.0,2.0,0.0,0.0,0.0
knowledge,8.0,6.0,8.0,9.0,5.0,6.0
knowledge management,0.0,0.0,6.0,0.0,0.0,0.0
knowledge sharing,5.0,10.0,8.0,13.0,6.0,6.0
korea,222.0,181.0,150.0,172.0,229.0,222.0
korea china,6.0,4.0,0.0,0.0,0.0,0.0
korea diplomacy,6.0,8.0,4.0,0.0,0.0,0.0
korea nuclear,0.0,5.0,6.0,4.0,0.0,0.0
korea tourism,5.0,2.0,0.0,0.0,0.0,4.0
korea welfare panel study,0.0,5.0,4.0,0.0,0.0,0.0
korea-eu fta,6.0,1.0,0.0,0.0,0.0,0.0
korea-japan relations,7.0,2.0,6.0,8.0,8.0,7.0
korea-us alliance,0.0,5.0,2.0,0.0,0.0,0.0
korean economy,5.0,3.0,0.0,8.0,3.0,0.0
korean history,0.0,0.0,7.0,6.0,10.0,8.0
korean language,5.0,1.0,0.0,0.0,0.0,0.0
korean language education,10.0,7.0,8.0,4.0,0.0,5.0
korean peninsula,8.0,2.0,12.0,20.0,6.0,6.0
korean social,0.0,7.0,8.0,6.0,4.0,0.0
korean society,5.0,3.0,7.0,6.0,8.0,5.0
korean university students,5.0,2.0,0.0,0.0,0.0,0.0
korean war,19.0,10.0,13.0,6.0,9.0,6.0
korean wave,15.0,11.0,17.0,12.0,10.0,9.0
korean-chinese,5.0,5.0,1.0,0.0,0.0,0.0
kospi,0.0,0.0,6.0,4.0,0.0,0.0
kyrgyzstan,0.0,0.0,0.0,6.0,5.0,0.0
l,14.0,7.0,14.0,7.0,7.0,4.0
la,11.0,4.0,12.0,2.0,0.0,0.0
labor,72.0,71.0,78.0,70.0,75.0,53.0
labor market,0.0,5.0,7.0,4.0,0.0,0.0
labor union,0.0,0.0,7.0,3.0,0.0,4.0
labour,8.0,6.0,11.0,4.0,0.0,6.0
land,26.0,27.0,30.0,28.0,27.0,28.0
language,0.0,0.0,5.0,9.0,6.0,7.0
large,6.0,1.0,9.0,8.0,6.0,5.0
large language model,0.0,0.0,0.0,9.0,16.0,14.0
latent class analysis,10.0,10.0,8.0,17.0,8.0,10.0
latent dirichlet allocation,5.0,3.0,0.0,0.0,0.0,0.0
latent growth model,6.0,10.0,5.0,7.0,6.0,5.0
latent profile,5.0,5.0,2.0,0.0,0.0,0.0
latent profile analysis,20.0,18.0,25.0,26.0,34.0,30.0
latent transition analysis,0.0,0.0,5.0,3.0,0.0,0.0
latin america,20.0,18.0,11.0,12.0,5.0,5.0
laws,17.0,12.0,16.0,9.0,17.0,14.0
lawsuit,7.0,8.0,8.0,11.0,2.0,0.0
lawyer,6.0,6.0,4.0,0.0,0.0,0.0
lda,0.0,5.0,16.0,13.0,11.0,10.0
lda topic modeling,0.0,5.0,8.0,9.0,10.0,9.0
le,9.0,4.0,0.0,0.0,0.0,0.0
leader-member exchange,0.0,5.0,5.0,4.0,0.0,3.0
leadership,23.0,21.0,16.0,11.0,15.0,12.0
leakage,0.0,0.0,5.0,4.0,0.0,4.0
learning,6.0,6.0,11.0,9.0,12.0,10.0
learning agility,0.0,0.0,0.0,5.0,4.0,0.0
learning community,0.0,5.0,3.0,0.0,0.0,3.0
learning engagement,0.0,0.0,0.0,5.0,4.0,0.0
learning experience,5.0,2.0,0.0,0.0,0.0,0.0
learning flow,5.0,6.0,5.0,2.0,0.0,0.0
learning immersion,7.0,3.0,0.0,0.0,0.0,0.0
learning motivation,0.0,8.0,3.0,9.0,3.0,0.0
learning satisfaction,0.0,5.0,2.0,7.0,6.0,5.0
learning transfer,6.0,2.0,0.0,7.0,3.0,0.0
lease,17.0,13.0,12.0,12.0,9.0,8.0
leave,5.0,3.0,5.0,6.0,6.0,4.0
legal,92.0,75.0,96.0,105.0,110.0,129.0
legality,0.0,0.0,6.0,5.0,5.0,0.0
legislation,25.0,22.0,27.0,21.0,22.0,18.0
legislative,13.0,19.0,25.0,21.0,35.0,33.0
legitimacy,9.0,8.0,6.0,12.0,21.0,20.0
legitimate,7.0,1.0,0.0,0.0,0.0,9.0
leisure,8.0,3.0,7.0,6.0,2.0,0.0
leisure constraints,0.0,5.0,3.0,0.0,0.0,0.0
leisure satisfaction,8.0,1.0,0.0,0.0,0.0,0.0
lending,6.0,3.0,0.0,0.0,0.0,0.0
letter,0.0,5.0,7.0,6.0,5.0,4.0
level,15.0,12.0,8.0,6.0,7.0,5.0
leverage,0.0,0.0,0.0,6.0,3.0,0.0
lgbtq+,0.0,0.0,0.0,8.0,5.0,6.0
liability,44.0,35.0,53.0,42.0,51.0,44.0
liberal arts education,9.0,9.0,9.0,5.0,7.0,4.0
liberal education,8.0,3.0,0.0,0.0,0.0,0.0
liberalism,15.0,12.0,10.0,9.0,6.0,5.0
liberation,6.0,1.0,0.0,0.0,0.0,0.0
license,10.0,12.0,9.0,13.0,14.0,14.0
life,28.0,22.0,28.0,21.0,17.0,16.0
life history,0.0,5.0,3.0,0.0,0.0,0.0
life satisfaction,50.0,54.0,62.0,53.0,77.0,71.0
lifelong education,16.0,8.0,7.0,11.0,14.0,13.0
lifelong learning,5.0,6.0,2.0,0.0,0.0,5.0
lifestyle,5.0,6.0,6.0,3.0,0.0,0.0
limit,8.0,6.0,8.0,7.0,5.0,5.0
limitation,16.0,7.0,14.0,18.0,12.0,12.0
limited,0.0,0.0,0.0,9.0,2.0,0.0
line,6.0,4.0,0.0,5.0,3.0,0.0
linkage,0.0,0.0,5.0,2.0,0.0,0.0
liquidity,0.0,8.0,7.0,5.0,3.0,0.0
listed,0.0,0.0,7.0,1.0,0.0,0.0
listed companies,0.0,0.0,5.0,1.0,0.0,0.0
listing,0.0,5.0,2.0,0.0,0.0,0.0
literacy,8.0,6.0,4.0,11.0,12.0,9.0
literature,8.0,2.0,0.0,0.0,0.0,0.0
literature education,6.0,3.0,6.0,4.0,0.0,0.0
literature review,8.0,6.0,9.0,12.0,8.0,8.0
lithium,0.0,0.0,0.0,5.0,0.0,0.0
litigation,30.0,28.0,28.0,15.0,42.0,34.0
live,0.0,5.0,5.0,4.0,0.0,0.0
live commerce,9.0,12.0,21.0,21.0,1.0,0.0
livelihood,5.0,5.0,2.0,6.0,1.0,0.0
living,5.0,11.0,7.0,7.0,1.0,0.0
living lab,6.0,2.0,7.0,4.0,0.0,0.0
lms,5.0,1.0,0.0,0.0,0.0,0.0
lmx,10.0,7.0,9.0,5.0,5.0,4.0
lng,0.0,6.0,4.0,0.0,0.0,0.0
local,47.0,53.0,57.0,48.0,45.0,42.0
local autonomy,8.0,4.0,0.0,5.0,5.0,0.0
local broadcasting,5.0,3.0,5.0,8.0,3.0,0.0
local community,6.0,5.0,8.0,5.0,5.0,3.0
local council,6.0,9.0,7.0,4.0,0.0,0.0
local creator,0.0,0.0,0.0,5.0,3.0,0.0
local decentralization,0.0,0.0,5.0,0.0,0.0,0.0
local diplomacy,0.0,0.0,5.0,3.0,0.0,0.0
local election,0.0,8.0,5.0,3.0,0.0,0.0
local era,0.0,0.0,6.0,1.0,0.0,0.0
local extinction,0.0,0.0,16.0,13.0,14.0,11.0
local extinction response fund,0.0,0.0,0.0,5.0,4.0,0.0
local finance,0.0,8.0,4.0,0.0,0.0,0.0
local governance,0.0,0.0,6.0,3.0,0.0,0.0
local government,24.0,28.0,28.0,32.0,30.0,29.0
local newspaper,0.0,0.0,0.0,5.0,1.0,0.0
local small and medium-sized cities,0.0,0.0,0.0,5.0,1.0,0.0
local tourism,7.0,8.0,3.0,11.0,4.0,0.0
local university,6.0,0.0,0.0,6.0,1.0,0.0
locality,6.0,7.0,7.0,7.0,6.0,5.0
localization,6.0,3.0,6.0,6.0,8.0,6.0
location,9.0,8.0,9.0,11.0,2.0,0.0
location quotient,0.0,0.0,8.0,1.0,0.0,0.0
logistic,0.0,6.0,5.0,2.0,0.0,2.0
logistic regression,7.0,11.0,9.0,14.0,15.0,15.0
logistics,11.0,4.0,9.0,12.0,9.0,8.0
logit,0.0,0.0,6.0,2.0,0.0,4.0
loi,5.0,0.0,0.0,0.0,0.0,0.0
loneliness,6.0,10.0,14.0,12.0,20.0,19.0
long,13.0,9.0,11.0,14.0,6.0,7.0
long-term care,7.0,4.0,0.0,6.0,2.0,0.0
long-term care facilities,0.0,5.0,2.0,0.0,0.0,5.0
long-term care insurance,0.0,5.0,0.0,0.0,0.0,6.0
longitudinal study,9.0,6.0,8.0,3.0,0.0,0.0
loss,11.0,21.0,8.0,12.0,9.0,8.0
love,6.0,2.0,0.0,0.0,0.0,0.0
low,8.0,8.0,5.0,10.0,8.0,7.0
low birth rate,0.0,0.0,0.0,7.0,4.0,0.0
low fertility,5.0,7.0,2.0,6.0,6.0,4.0
loyalty,17.0,25.0,17.0,18.0,16.0,14.0
lstm,0.0,0.0,0.0,5.0,6.0,4.0
lt,5.0,2.0,0.0,0.0,0.0,0.0
m,6.0,6.0,16.0,3.0,0.0,6.0
m&amp;a,5.0,4.0,8.0,4.0,0.0,0.0
ma,6.0,3.0,0.0,0.0,0.0,0.0
machine learning,21.0,32.0,33.0,39.0,35.0,36.0
maintenance,12.0,9.0,9.0,14.0,8.0,10.0
major satisfaction,6.0,4.0,5.0,7.0,4.0,0.0
majority,8.0,4.0,5.0,1.0,0.0,0.0
making,7.0,8.0,13.0,21.0,13.0,15.0
management,83.0,64.0,64.0,62.0,86.0,77.0
management performance,9.0,19.0,12.0,6.0,9.0,5.0
manager,7.0,3.0,7.0,7.0,3.0,0.0
managerial,0.0,0.0,0.0,5.0,3.0,0.0
managerial ability,8.0,5.0,1.0,0.0,0.0,0.0
mandatory,10.0,16.0,11.0,15.0,9.0,11.0
manipulation,0.0,0.0,5.0,4.0,0.0,0.0
manpower,0.0,0.0,0.0,6.0,1.0,0.0
manufacturing,6.0,11.0,13.0,2.0,0.0,4.0
mao zedong,5.0,1.0,0.0,0.0,0.0,0.0
map,0.0,0.0,0.0,13.0,2.0,0.0
margin,5.0,2.0,0.0,0.0,0.0,0.0
marine,9.0,9.0,7.0,12.0,8.0,8.0
maritime,10.0,15.0,21.0,15.0,19.0,16.0
market,55.0,47.0,52.0,49.0,41.0,39.0
market orientation,0.0,10.0,4.0,0.0,0.0,0.0
market segmentation,10.0,8.0,8.0,1.0,0.0,0.0
marketing,9.0,3.0,0.0,0.0,0.0,0.0
markets,6.0,7.0,9.0,4.0,0.0,5.0
marriage,13.0,8.0,9.0,14.0,13.0,12.0
marriage migrant women,10.0,7.0,4.0,6.0,10.0,8.0
married immigrant women,0.0,5.0,3.0,0.0,0.0,0.0
marx,10.0,6.0,5.0,2.0,0.0,0.0
marxism,12.0,10.0,9.0,6.0,7.0,4.0
masculinity,5.0,4.0,0.0,0.0,0.0,0.0
mass,5.0,1.0,0.0,0.0,0.0,6.0
material,10.0,11.0,7.0,7.0,9.0,7.0
materialism,5.0,4.0,0.0,5.0,5.0,0.0
mathematics,0.0,5.0,2.0,0.0,0.0,0.0
matter,5.0,3.0,0.0,0.0,0.0,0.0
meal kit,10.0,7.0,2.0,0.0,0.0,0.0
meaning,10.0,2.0,0.0,0.0,0.0,8.0
means,0.0,0.0,5.0,7.0,0.0,0.0
measure,6.0,5.0,6.0,8.0,1.0,0.0
measurement,0.0,6.0,8.0,1.0,0.0,0.0
measures,22.0,23.0,19.0,20.0,30.0,26.0
mechanism,7.0,7.0,8.0,5.0,7.0,4.0
media,38.0,23.0,27.0,32.0,30.0,28.0
media coverage,6.0,0.0,0.0,0.0,0.0,0.0
media literacy,8.0,14.0,12.0,13.0,7.0,7.0
media reports,0.0,0.0,0.0,8.0,1.0,0.0
media representation,0.0,0.0,0.0,5.0,2.0,0.0
media use,0.0,5.0,7.0,3.0,0.0,0.0
mediating effect,32.0,28.0,39.0,24.0,26.0,19.0
mediation,15.0,19.0,19.0,18.0,26.0,23.0
mediation effect,23.0,9.0,12.0,16.0,29.0,26.0
medical,27.0,27.0,27.0,37.0,27.0,29.0
medical institutions,0.0,0.0,0.0,5.0,0.0,0.0
medical tourism,5.0,4.0,0.0,0.0,0.0,0.0
medium,6.0,4.0,11.0,6.0,3.0,0.0
meeting,9.0,5.0,8.0,4.0,0.0,5.0
mega city,0.0,0.0,0.0,11.0,0.0,0.0
member,10.0,6.0,5.0,3.0,0.0,0.0
members,0.0,0.0,0.0,6.0,5.0,4.0
memory,5.0,8.0,6.0,7.0,3.0,0.0
memory struggle,0.0,5.0,0.0,0.0,0.0,0.0
mental,8.0,5.0,10.0,10.0,6.0,6.0
mental health,22.0,17.0,18.0,18.0,23.0,19.0
mental strength,0.0,0.0,0.0,5.0,0.0,0.0
mentoring,6.0,2.0,5.0,6.0,1.0,0.0
menu quality,5.0,0.0,0.0,0.0,0.0,0.0
merger,10.0,12.0,8.0,9.0,6.0,6.0
meritocracy,15.0,19.0,6.0,7.0,9.0,7.0
message,13.0,0.0,6.0,2.0,0.0,5.0
message framing,0.0,0.0,8.0,4.0,0.0,0.0
meta-analysis,36.0,26.0,33.0,22.0,14.0,11.0
metacognition,0.0,0.0,7.0,8.0,0.0,0.0
metaverse,20.0,47.0,72.0,19.0,21.0,8.0
methodology,5.0,4.0,0.0,8.0,1.0,0.0
methods,0.0,0.0,5.0,3.0,0.0,0.0
metropolitan,8.0,3.0,5.0,8.0,6.0,5.0
metropolitan area,5.0,5.0,3.0,7.0,10.0,10.0
mexico,6.0,7.0,4.0,0.0,0.0,0.0
mice,0.0,6.0,3.0,0.0,0.0,0.0
middle power,11.0,5.0,4.0,0.0,0.0,0.0
middle school,7.0,9.0,3.0,0.0,0.0,0.0
middle school student,6.0,0.0,0.0,0.0,0.0,0.0
middle school students,7.0,6.0,5.0,7.0,6.0,6.0
middle-aged,0.0,0.0,8.0,6.0,4.0,0.0
middle-aged adults,0.0,0.0,0.0,6.0,8.0,8.0
middle-aged women,6.0,5.0,3.0,5.0,4.0,0.0
migrant,11.0,9.0,12.0,8.0,15.0,12.0
migrant workers,0.0,8.0,9.0,5.0,9.0,6.0
migration,15.0,9.0,11.0,20.0,7.0,9.0
military,43.0,40.0,47.0,49.0,35.0,32.0
millennials,0.0,9.0,5.0,1.0,0.0,0.0
mindfulness,6.0,5.0,8.0,10.0,8.0,7.0
mindset,0.0,7.0,1.0,5.0,3.0,0.0
mine,0.0,0.0,0.0,5.0,0.0,0.0
minimum,13.0,7.0,9.0,11.0,8.0,9.0
mining,0.0,7.0,5.0,11.0,9.0,9.0
ministry,5.0,1.0,6.0,3.0,0.0,0.0
minor,0.0,0.0,5.0,2.0,0.0,0.0
minority,11.0,12.0,10.0,18.0,5.0,5.0
misinformation,5.0,2.0,0.0,0.0,0.0,0.0
misogyny,0.0,0.0,0.0,5.0,5.0,4.0
mission,8.0,3.0,0.0,5.0,7.0,4.0
mistake,0.0,0.0,6.0,2.0,0.0,0.0
mixed,0.0,0.0,9.0,2.0,0.0,6.0
mixed methods,0.0,6.0,2.0,5.0,5.0,3.0
mixed methods research,0.0,5.0,2.0,6.0,4.0,0.0
mobile,0.0,8.0,12.0,7.0,0.0,0.0
mobile application,6.0,2.0,7.0,3.0,0.0,0.0
mobile payment,5.0,1.0,0.0,0.0,0.0,0.0
mobility,8.0,7.0,13.0,14.0,13.0,12.0
modeling,0.0,0.0,0.0,6.0,14.0,11.0
moderated mediating effect,5.0,1.0,8.0,5.0,3.0,0.0
moderated mediation model,0.0,8.0,4.0,0.0,0.0,0.0
moderating effect,30.0,26.0,24.0,37.0,30.0,29.0
modern,0.0,0.0,0.0,5.0,5.0,4.0
modernization,5.0,4.0,0.0,0.0,0.0,0.0
monetary,9.0,7.0,4.0,6.0,5.0,5.0
money,13.0,8.0,7.0,8.0,12.0,10.0
mongolia,9.0,2.0,5.0,3.0,0.0,0.0
monitoring,8.0,8.0,5.0,8.0,7.0,6.0
monopoly,12.0,9.0,9.0,4.0,0.0,0.0
moon jae,0.0,5.0,1.0,0.0,0.0,0.0
moon jae-in government,0.0,0.0,5.0,0.0,0.0,0.0
moral,9.0,4.0,6.0,9.0,3.0,0.0
moral education,19.0,23.0,15.0,17.0,7.0,6.0
moral education curriculum,8.0,4.0,0.0,0.0,0.0,0.0
morality,9.0,7.0,6.0,7.0,3.0,0.0
mortgage,5.0,6.0,11.0,5.0,6.0,0.0
mosaic,0.0,0.0,5.0,0.0,0.0,0.0
mother,9.0,5.0,4.0,9.0,1.0,0.0
motivation,18.0,18.0,10.0,18.0,12.0,12.0
movement,9.0,8.0,9.0,5.0,6.0,5.0
multi,13.0,13.0,16.0,13.0,18.0,16.0
multi-group analysis,7.0,12.0,5.0,3.0,0.0,7.0
multi-level analysis,0.0,5.0,4.0,0.0,0.0,0.0
multicultural acceptance,7.0,2.0,0.0,0.0,0.0,5.0
multicultural adolescents,11.0,8.0,8.0,19.0,6.0,7.0
multicultural education,6.0,6.0,5.0,9.0,5.0,6.0
multicultural families,7.0,6.0,6.0,5.0,6.0,5.0
multicultural society,0.0,8.0,1.0,6.0,4.0,0.0
multiculturalism,13.0,9.0,9.0,9.0,21.0,17.0
multilateral,12.0,3.0,6.0,2.0,0.0,3.0
multilevel model,0.0,0.0,0.0,8.0,3.0,0.0
multinational,0.0,6.0,7.0,6.0,4.0,0.0
multinomial logistic regression,0.0,0.0,7.0,5.0,4.0,0.0
multiple,19.0,5.0,13.0,5.0,10.0,8.0
multiple regression analysis,8.0,7.0,13.0,8.0,4.0,0.0
museum,0.0,6.0,4.0,0.0,0.0,7.0
music,0.0,0.0,0.0,5.0,4.0,0.0
muslim,0.0,5.0,0.0,0.0,0.0,0.0
mutual,8.0,4.0,7.0,7.0,1.0,0.0
myanmar,10.0,10.0,4.0,0.0,0.0,0.0
mydata,0.0,5.0,0.0,0.0,0.0,0.0
mz,8.0,19.0,28.0,18.0,27.0,22.0
mz generation,12.0,21.0,38.0,17.0,23.0,17.0
n,0.0,7.0,5.0,9.0,3.0,0.0
name,8.0,12.0,2.0,0.0,0.0,0.0
narcissism,0.0,0.0,5.0,4.0,0.0,0.0
narrative,14.0,6.0,12.0,13.0,11.0,10.0
narrative analysis,0.0,5.0,0.0,0.0,0.0,0.0
narrative inquiry,14.0,12.0,11.0,12.0,19.0,16.0
nation,5.0,7.0,2.0,0.0,0.0,0.0
national,72.0,59.0,71.0,69.0,65.0,64.0
national assembly,5.0,5.0,0.0,5.0,1.0,0.0
national competency standards,5.0,0.0,0.0,0.0,0.0,0.0
national identity,9.0,4.0,5.0,3.0,0.0,3.0
national image,0.0,0.0,5.0,4.0,0.0,0.0
national pension,6.0,10.0,8.0,7.0,3.0,0.0
nationalism,12.0,11.0,11.0,12.0,11.0,11.0
nationality,8.0,7.0,11.0,8.0,1.0,0.0
nations,7.0,12.0,8.0,6.0,6.0,3.0
nato,0.0,12.0,9.0,4.0,0.0,6.0
natural,11.0,9.0,12.0,17.0,9.0,11.0
natural language processing,5.0,2.0,0.0,0.0,0.0,4.0
nature,15.0,11.0,13.0,23.0,12.0,13.0
naval,5.0,7.0,5.0,12.0,13.0,12.0
naver,0.0,8.0,1.0,0.0,0.0,0.0
navigation,0.0,0.0,0.0,5.0,3.0,0.0
navy,6.0,5.0,2.0,5.0,5.0,4.0
ncs,7.0,4.0,6.0,5.0,2.0,0.0
ndc,0.0,6.0,3.0,0.0,0.0,0.0
necessity,8.0,7.0,10.0,4.0,0.0,5.0
needs,0.0,0.0,0.0,5.0,4.0,0.0
needs analysis,0.0,7.0,5.0,2.0,0.0,0.0
negative,5.0,4.0,6.0,8.0,2.0,0.0
negative emotions,7.0,7.0,5.0,4.0,0.0,6.0
negligence,10.0,8.0,8.0,6.0,9.0,7.0
negotiation,0.0,0.0,7.0,5.0,7.0,5.0
neoliberalism,16.0,11.0,11.0,13.0,9.0,9.0
net,6.0,6.0,5.0,3.0,0.0,5.0
netflix,0.0,0.0,7.0,7.0,6.0,6.0
network,34.0,34.0,27.0,28.0,32.0,28.0
network analysis,18.0,21.0,16.0,18.0,22.0,21.0
networking,5.0,0.0,0.0,0.0,0.0,0.0
networks,0.0,5.0,5.0,0.0,0.0,4.0
neutral,0.0,6.0,7.0,1.0,0.0,0.0
neutrality,14.0,20.0,17.0,18.0,14.0,12.0
new,18.0,30.0,19.0,20.0,16.0,13.0
new cold war,0.0,0.0,6.0,6.0,3.0,0.0
new government,0.0,8.0,1.0,0.0,0.0,7.0
new institutionalism,0.0,5.0,3.0,0.0,0.0,0.0
new materialism,0.0,9.0,3.0,0.0,0.0,0.0
new normal,5.0,3.0,0.0,0.0,0.0,0.0
new northern policy,5.0,5.0,0.0,0.0,0.0,0.0
news,9.0,12.0,9.0,9.0,13.0,10.0
news credibility,0.0,5.0,1.0,0.0,0.0,0.0
news trust,0.0,0.0,0.0,5.0,2.0,0.0
newspaper,0.0,0.0,5.0,4.0,0.0,0.0
nft,5.0,10.0,13.0,5.0,6.0,2.0
nigeria,6.0,8.0,8.0,8.0,6.0,5.0
no,9.0,8.0,10.0,7.0,15.0,11.0
nominal,5.0,0.0,0.0,0.0,0.0,0.0
non-face-to-face,6.0,7.0,1.0,0.0,0.0,0.0
